,date,timestamp,detector_id,lane_id,speed,s_ab,volume,v_ab,occupancy,o_ab,error
7971,2017/2/10,1899-12-31 07:22:00,TMS-408-08.0-EB,TMS-408-08.0-EB-Lane01,64,0,30,0,11.5,1,1
33621,2017/2/8,1899-12-31 07:05:00,TMS-408-08.0-EB,TMS-408-08.0-EB-Lane01,65,0,30,0,10,1,1
33765,2017/2/8,1899-12-31 07:13:00,TMS-408-08.0-EB,TMS-408-08.0-EB-Lane01,63,0,30,0,14,1,1
46747,2017/2/7,1899-12-31 07:14:00,TMS-408-06.8-EB,TMS-408-06.8-EB-Lane01,64,1,30,0,14,0,1
47035,2017/2/7,1899-12-31 07:30:00,TMS-408-06.8-EB,TMS-408-06.8-EB-Lane01,60,0,30,1,17,0,1
59923,2017/2/6,1899-12-31 07:25:00,TMS-408-06.8-EB,TMS-408-06.8-EB-Lane01,34,0,28,1,32,0,1
21998,2017/2/9,1899-12-31 08:21:00,TMS-408-06.8-EB,TMS-408-06.8-EB-Lane02,46,1,29,0,14,0,1
35235,2017/2/8,1899-12-31 08:35:00,TMS-408-07.4-EB,TMS-408-07.4-EB-Lane02,65,0,27,1,15,0,1
21955,2017/2/9,1899-12-31 08:18:00,TMS-408-07.6-EB,TMS-408-07.6-EB-Lane03,54,1,29,0,12,0,1
8,2017/2/10,1899-12-31 00:00:00,TMS-408-07.4-EB,TMS-408-07.4-EB-Lane01,63.5,1,1,1,0,1,3
37,2017/2/10,1899-12-31 00:02:00,TMS-408-06.8-EB,TMS-408-06.8-EB-Lane01,60.5,1,1,1,0,1,3
40,2017/2/10,1899-12-31 00:02:00,TMS-408-07.0-EB,TMS-408-07.0-EB-Lane01,61.25,1,1,1,0,1,3
44,2017/2/10,1899-12-31 00:02:00,TMS-408-07.4-EB,TMS-408-07.4-EB-Lane01,61.625,1,1,1,0,1,3
55,2017/2/10,1899-12-31 00:03:00,TMS-408-06.8-EB,TMS-408-06.8-EB-Lane01,65,1,1.5,1,0,1,3
62,2017/2/10,1899-12-31 00:03:00,TMS-408-07.4-EB,TMS-408-07.4-EB-Lane01,62,1,1,1,0,1,3
65,2017/2/10,1899-12-31 00:03:00,TMS-408-07.6-EB,TMS-408-07.6-EB-Lane01,61,1,1,1,0,1,3
73,2017/2/10,1899-12-31 00:04:00,TMS-408-06.8-EB,TMS-408-06.8-EB-Lane01,61.5,1,1,1,0,1,3
76,2017/2/10,1899-12-31 00:04:00,TMS-408-07.0-EB,TMS-408-07.0-EB-Lane01,62.25,1,1,1,0,1,3
80,2017/2/10,1899-12-31 00:04:00,TMS-408-07.4-EB,TMS-408-07.4-EB-Lane01,62.625,1,1,1,0,1,3
83,2017/2/10,1899-12-31 00:04:00,TMS-408-07.6-EB,TMS-408-07.6-EB-Lane01,62.8125,1,1,1,0,1,3
87,2017/2/10,1899-12-31 00:04:00,TMS-408-08.0-EB,TMS-408-08.0-EB-Lane01,62.90625,1,1,1,0,1,3
94,2017/2/10,1899-12-31 00:05:00,TMS-408-07.0-EB,TMS-408-07.0-EB-Lane01,63,1,1.5,1,0,1,3
98,2017/2/10,1899-12-31 00:05:00,TMS-408-07.4-EB,TMS-408-07.4-EB-Lane01,63,1,1.75,1,0,1,3
101,2017/2/10,1899-12-31 00:05:00,TMS-408-07.6-EB,TMS-408-07.6-EB-Lane01,63,1,1.875,1,0,1,3
105,2017/2/10,1899-12-31 00:05:00,TMS-408-08.0-EB,TMS-408-08.0-EB-Lane01,63,1,1.9375,1,0,1,3
109,2017/2/10,1899-12-31 00:06:00,TMS-408-06.8-EB,TMS-408-06.8-EB-Lane01,63,1,1.96875,1,0,1,3
123,2017/2/10,1899-12-31 00:06:00,TMS-408-08.0-EB,TMS-408-08.0-EB-Lane01,64,1,1,1,0,1,3
127,2017/2/10,1899-12-31 00:07:00,TMS-408-06.8-EB,TMS-408-06.8-EB-Lane01,65,1,1,1,0,1,3
130,2017/2/10,1899-12-31 00:07:00,TMS-408-07.0-EB,TMS-408-07.0-EB-Lane01,65.5,1,1,1,0,1,3
134,2017/2/10,1899-12-31 00:07:00,TMS-408-07.4-EB,TMS-408-07.4-EB-Lane01,65.75,1,1,1,0,1,3
145,2017/2/10,1899-12-31 00:08:00,TMS-408-06.8-EB,TMS-408-06.8-EB-Lane01,68.5,1,1.5,1,0,1,3
148,2017/2/10,1899-12-31 00:08:00,TMS-408-07.0-EB,TMS-408-07.0-EB-Lane01,69.75,1,1.25,1,0,1,3
152,2017/2/10,1899-12-31 00:08:00,TMS-408-07.4-EB,TMS-408-07.4-EB-Lane01,70.375,1,1.125,1,0,1,3
155,2017/2/10,1899-12-31 00:08:00,TMS-408-07.6-EB,TMS-408-07.6-EB-Lane01,70.6875,1,1.0625,1,0,1,3
159,2017/2/10,1899-12-31 00:08:00,TMS-408-08.0-EB,TMS-408-08.0-EB-Lane01,70.84375,1,1.03125,1,0,1,3
163,2017/2/10,1899-12-31 00:09:00,TMS-408-06.8-EB,TMS-408-06.8-EB-Lane01,70.921875,1,1.015625,1,0,1,3
166,2017/2/10,1899-12-31 00:09:00,TMS-408-07.0-EB,TMS-408-07.0-EB-Lane01,70.9609375,1,1.0078125,1,0,1,3
170,2017/2/10,1899-12-31 00:09:00,TMS-408-07.4-EB,TMS-408-07.4-EB-Lane01,70.98046875,1,1.00390625,1,0,1,3
173,2017/2/10,1899-12-31 00:09:00,TMS-408-07.6-EB,TMS-408-07.6-EB-Lane01,70.99023438,1,1.001953125,1,0,1,3
