FSTR_LOOPGROUPID,FDT_TIME,FSTR_VALIDITY,FINT_VOLUME,FINT_SPEED,FINT_OCCUPY
ZHWX36(1),2019/11/5 0:00,valid,0,0,0
ZHWX36(1),2019/11/5 0:00,valid,0,0,0
ZHWX36(1),2019/11/5 0:00,valid,3,80,3
ZHWX36(1),2019/11/5 0:01,valid,3,83,4
ZHWX36(1),2019/11/5 0:01,valid,2,82,3
ZHWX36(1),2019/11/5 0:01,valid,1,71,1
ZHWX36(1),2019/11/5 0:02,valid,1,76,1
ZHWX36(1),2019/11/5 0:02,valid,2,76,2
ZHWX36(1),2019/11/5 0:02,valid,4,80,4
ZHWX36(1),2019/11/5 0:03,valid,1,90,1
ZHWX36(1),2019/11/5 0:03,valid,1,74,1
ZHWX36(1),2019/11/5 0:03,valid,0,0,0
ZHWX36(1),2019/11/5 0:04,valid,2,67,2
ZHWX36(1),2019/11/5 0:04,valid,2,74,2
ZHWX36(1),2019/11/5 0:04,valid,2,76,2
ZHWX36(1),2019/11/5 0:05,valid,1,60,1
ZHWX36(1),2019/11/5 0:05,valid,4,73,5
ZHWX36(1),2019/11/5 0:05,valid,0,0,0
ZHWX36(1),2019/11/5 0:06,valid,1,81,1
ZHWX36(1),2019/11/5 0:06,valid,3,81,4
ZHWX36(1),2019/11/5 0:06,valid,0,0,0
ZHWX36(1),2019/11/5 0:07,valid,0,0,0
ZHWX36(1),2019/11/5 0:07,valid,1,82,1
ZHWX36(1),2019/11/5 0:07,valid,0,0,0
ZHWX36(1),2019/11/5 0:08,valid,1,82,2
ZHWX36(1),2019/11/5 0:08,valid,2,68,3
ZHWX36(1),2019/11/5 0:08,valid,3,73,4
ZHWX36(1),2019/11/5 0:09,valid,2,84,2
ZHWX36(1),2019/11/5 0:09,valid,4,74,6
ZHWX36(1),2019/11/5 0:09,valid,0,0,0
ZHWX36(1),2019/11/5 0:10,valid,0,0,0
ZHWX36(1),2019/11/5 0:10,valid,2,85,3
ZHWX36(1),2019/11/5 0:10,valid,1,86,1
ZHWX36(1),2019/11/5 0:11,valid,2,75,2
ZHWX36(1),2019/11/5 0:11,valid,1,80,1
ZHWX36(1),2019/11/5 0:11,valid,0,0,0
ZHWX36(1),2019/11/5 0:12,valid,2,71,71
ZHWX36(1),2019/11/5 0:12,valid,2,59,4
ZHWX36(1),2019/11/5 0:12,valid,0,0,0
ZHWX36(1),2019/11/5 0:13,valid,0,0,0
ZHWX36(1),2019/11/5 0:13,valid,1,81,1
ZHWX36(1),2019/11/5 0:13,valid,1,90,1
ZHWX36(1),2019/11/5 0:14,valid,2,88,2
ZHWX36(1),2019/11/5 0:14,valid,0,0,0
ZHWX36(1),2019/11/5 0:14,valid,1,76,1
ZHWX36(1),2019/11/5 0:15,valid,2,74,3
ZHWX36(1),2019/11/5 0:15,valid,0,0,0
ZHWX36(1),2019/11/5 0:15,valid,1,83,1
ZHWX36(1),2019/11/5 0:16,valid,3,84,3
ZHWX36(1),2019/11/5 0:16,valid,0,0,0
ZHWX36(1),2019/11/5 0:16,valid,1,85,1
ZHWX36(1),2019/11/5 0:17,valid,0,0,0
ZHWX36(1),2019/11/5 0:17,valid,0,0,0
ZHWX36(1),2019/11/5 0:17,valid,1,81,1
ZHWX36(1),2019/11/5 0:18,valid,2,72,3
ZHWX36(1),2019/11/5 0:18,valid,2,75,3
ZHWX36(1),2019/11/5 0:18,valid,2,86,2
ZHWX36(1),2019/11/5 0:19,valid,1,76,1
ZHWX36(1),2019/11/5 0:19,valid,0,0,0
ZHWX36(1),2019/11/5 0:19,valid,1,71,1
ZHWX36(1),2019/11/5 0:20,valid,1,89,1
ZHWX36(1),2019/11/5 0:20,valid,3,81,3
ZHWX36(1),2019/11/5 0:20,valid,2,79,2
ZHWX36(1),2019/11/5 0:21,valid,1,80,1
ZHWX36(1),2019/11/5 0:21,valid,1,85,1
ZHWX36(1),2019/11/5 0:21,valid,1,75,1
ZHWX36(1),2019/11/5 0:22,valid,1,77,1
ZHWX36(1),2019/11/5 0:22,valid,1,67,1
ZHWX36(1),2019/11/5 0:22,valid,1,78,1
ZHWX36(1),2019/11/5 0:23,valid,1,80,1
ZHWX36(1),2019/11/5 0:23,valid,2,81,3
ZHWX36(1),2019/11/5 0:23,valid,0,0,0
ZHWX36(1),2019/11/5 0:24,valid,1,74,1
ZHWX36(1),2019/11/5 0:24,valid,1,78,1
ZHWX36(1),2019/11/5 0:24,valid,3,84,3
ZHWX36(1),2019/11/5 0:25,valid,1,90,1
ZHWX36(1),2019/11/5 0:25,valid,0,0,0
ZHWX36(1),2019/11/5 0:25,valid,3,76,4
ZHWX36(1),2019/11/5 0:26,valid,1,85,1
ZHWX36(1),2019/11/5 0:26,valid,1,81,2
ZHWX36(1),2019/11/5 0:26,valid,1,75,3
ZHWX36(1),2019/11/5 0:27,valid,0,0,0
ZHWX36(1),2019/11/5 0:27,valid,2,74,2
ZHWX36(1),2019/11/5 0:27,valid,0,0,0
ZHWX36(1),2019/11/5 0:28,valid,1,78,1
ZHWX36(1),2019/11/5 0:28,valid,0,0,0
ZHWX36(1),2019/11/5 0:28,valid,2,73,2
ZHWX36(1),2019/11/5 0:29,valid,3,78,4
ZHWX36(1),2019/11/5 0:29,valid,0,0,0
ZHWX36(1),2019/11/5 0:29,valid,0,0,0
ZHWX36(1),2019/11/5 0:30,valid,2,84,2
ZHWX36(1),2019/11/5 0:30,valid,1,73,2
ZHWX36(1),2019/11/5 0:30,valid,1,80,1
ZHWX36(1),2019/11/5 0:31,valid,3,82,4
ZHWX36(1),2019/11/5 0:31,valid,1,72,2
ZHWX36(1),2019/11/5 0:31,valid,3,82,4
ZHWX36(1),2019/11/5 0:32,valid,2,86,2
ZHWX36(1),2019/11/5 0:32,valid,1,87,1
ZHWX36(1),2019/11/5 0:32,valid,0,0,0
ZHWX36(1),2019/11/5 0:33,valid,0,0,0
ZHWX36(1),2019/11/5 0:33,valid,0,0,0
ZHWX36(1),2019/11/5 0:33,valid,1,69,1
ZHWX36(1),2019/11/5 0:34,valid,0,0,0
ZHWX36(1),2019/11/5 0:34,valid,1,83,1
ZHWX36(1),2019/11/5 0:34,valid,0,0,0
ZHWX36(1),2019/11/5 0:35,valid,2,73,2
ZHWX36(1),2019/11/5 0:35,valid,0,0,0
ZHWX36(1),2019/11/5 0:35,valid,0,0,0
ZHWX36(1),2019/11/5 0:36,valid,0,0,0
ZHWX36(1),2019/11/5 0:36,valid,2,75,2
ZHWX36(1),2019/11/5 0:36,valid,1,80,1
ZHWX36(1),2019/11/5 0:37,valid,0,0,0
ZHWX36(1),2019/11/5 0:37,valid,2,88,2
ZHWX36(1),2019/11/5 0:37,valid,0,0,0
ZHWX36(1),2019/11/5 0:38,valid,0,0,0
ZHWX36(1),2019/11/5 0:38,valid,0,0,0
ZHWX36(1),2019/11/5 0:38,valid,2,77,2
ZHWX36(1),2019/11/5 0:39,valid,0,0,0
ZHWX36(1),2019/11/5 0:39,valid,0,0,0
ZHWX36(1),2019/11/5 0:39,valid,0,0,0
ZHWX36(1),2019/11/5 0:40,valid,1,90,1
ZHWX36(1),2019/11/5 0:40,valid,0,0,0
ZHWX36(1),2019/11/5 0:40,valid,0,0,0
ZHWX36(1),2019/11/5 0:41,valid,1,83,1
ZHWX36(1),2019/11/5 0:41,valid,1,70,1
ZHWX36(1),2019/11/5 0:41,valid,0,0,0
ZHWX36(1),2019/11/5 0:42,valid,0,0,0
ZHWX36(1),2019/11/5 0:42,valid,0,0,0
ZHWX36(1),2019/11/5 0:42,valid,0,0,0
ZHWX36(1),2019/11/5 0:43,valid,1,71,1
ZHWX36(1),2019/11/5 0:43,valid,1,70,1
ZHWX36(1),2019/11/5 0:43,valid,0,0,0
ZHWX36(1),2019/11/5 0:44,valid,0,0,0
ZHWX36(1),2019/11/5 0:44,valid,0,0,0
ZHWX36(1),2019/11/5 0:44,valid,0,0,0
ZHWX36(1),2019/11/5 0:45,valid,0,0,0
ZHWX36(1),2019/11/5 0:45,valid,1,77,1
ZHWX36(1),2019/11/5 0:45,valid,0,0,0
ZHWX36(1),2019/11/5 0:46,valid,1,77,1
ZHWX36(1),2019/11/5 0:46,valid,1,74,1
ZHWX36(1),2019/11/5 0:46,valid,0,0,0
ZHWX36(1),2019/11/5 0:47,valid,0,0,0
ZHWX36(1),2019/11/5 0:47,valid,0,0,0
ZHWX36(1),2019/11/5 0:47,valid,1,82,1
ZHWX36(1),2019/11/5 0:48,valid,0,0,0
ZHWX36(1),2019/11/5 0:48,valid,1,81,1
ZHWX36(1),2019/11/5 0:48,valid,1,71,1
ZHWX36(1),2019/11/5 0:49,valid,1,78,1
ZHWX36(1),2019/11/5 0:49,valid,0,0,0
ZHWX36(1),2019/11/5 0:49,valid,0,0,0
ZHWX36(1),2019/11/5 0:50,valid,3,76,3
ZHWX36(1),2019/11/5 0:50,valid,2,62,3
ZHWX36(1),2019/11/5 0:50,valid,0,0,0
ZHWX36(1),2019/11/5 0:51,valid,1,71,1
ZHWX36(1),2019/11/5 0:51,valid,0,0,0
ZHWX36(1),2019/11/5 0:51,valid,0,0,0
ZHWX36(1),2019/11/5 0:52,valid,0,0,0
ZHWX36(1),2019/11/5 0:52,valid,0,0,0
ZHWX36(1),2019/11/5 0:52,valid,0,0,0
ZHWX36(1),2019/11/5 0:53,valid,0,0,0
ZHWX36(1),2019/11/5 0:53,valid,2,73,2
ZHWX36(1),2019/11/5 0:53,valid,0,0,0
ZHWX36(1),2019/11/5 0:54,valid,0,0,0
ZHWX36(1),2019/11/5 0:54,valid,0,0,0
ZHWX36(1),2019/11/5 0:54,valid,2,80,2
ZHWX36(1),2019/11/5 0:55,valid,1,74,1
ZHWX36(1),2019/11/5 0:55,valid,1,72,1
ZHWX36(1),2019/11/5 0:55,valid,1,78,1
ZHWX36(1),2019/11/5 0:56,valid,0,0,0
ZHWX36(1),2019/11/5 0:56,valid,0,0,0
ZHWX36(1),2019/11/5 0:56,valid,0,0,0
ZHWX36(1),2019/11/5 0:57,valid,0,0,0
ZHWX36(1),2019/11/5 0:57,valid,0,0,0
ZHWX36(1),2019/11/5 0:57,valid,0,0,0
ZHWX36(1),2019/11/5 0:58,valid,0,0,0
ZHWX36(1),2019/11/5 0:58,valid,2,75,2
ZHWX36(1),2019/11/5 0:58,valid,0,0,0
ZHWX36(1),2019/11/5 0:59,valid,1,78,1
ZHWX36(1),2019/11/5 0:59,valid,0,0,0
ZHWX36(1),2019/11/5 0:59,valid,0,0,0
ZHWX36(1),2019/11/5 1:00,valid,0,0,0
ZHWX36(1),2019/11/5 1:00,valid,2,79,100
ZHWX36(1),2019/11/5 1:00,valid,1,77,1
ZHWX36(1),2019/11/5 1:01,valid,0,0,0
ZHWX36(1),2019/11/5 1:01,valid,0,0,0
ZHWX36(1),2019/11/5 1:01,valid,0,0,0
ZHWX36(1),2019/11/5 1:02,valid,0,0,0
ZHWX36(1),2019/11/5 1:02,valid,0,0,0
ZHWX36(1),2019/11/5 1:02,valid,1,68,1
ZHWX36(1),2019/11/5 1:03,valid,0,0,0
ZHWX36(1),2019/11/5 1:03,valid,0,0,0
ZHWX36(1),2019/11/5 1:03,valid,0,0,0
ZHWX36(1),2019/11/5 1:04,valid,1,77,1
ZHWX36(1),2019/11/5 1:04,valid,0,0,0
ZHWX36(1),2019/11/5 1:04,valid,2,75,2
ZHWX36(1),2019/11/5 1:05,valid,1,90,1
ZHWX36(1),2019/11/5 1:05,valid,1,71,1
ZHWX36(1),2019/11/5 1:05,valid,0,0,0
ZHWX36(1),2019/11/5 1:06,valid,0,0,0
ZHWX36(1),2019/11/5 1:06,valid,0,0,0
ZHWX36(1),2019/11/5 1:06,valid,1,90,1
ZHWX36(1),2019/11/5 1:07,valid,3,79,4
ZHWX36(1),2019/11/5 1:07,valid,1,75,1
ZHWX36(1),2019/11/5 1:07,valid,0,0,0
ZHWX36(1),2019/11/5 1:08,valid,1,89,1
ZHWX36(1),2019/11/5 1:08,valid,0,0,0
ZHWX36(1),2019/11/5 1:08,valid,0,0,0
ZHWX36(1),2019/11/5 1:09,valid,0,0,0
ZHWX36(1),2019/11/5 1:09,valid,1,83,1
ZHWX36(1),2019/11/5 1:09,valid,0,0,0
